Date,XRPUSDT,BCHUSDT
2020-01-01 00:00:00,0.19248,204.43
2020-01-01 01:00:00,0.19371,206.19
2020-01-01 02:00:00,0.19418,207.38
2020-01-01 03:00:00,0.19397,205.71
2020-01-01 04:00:00,0.19363,206.2
2020-01-01 05:00:00,0.19429,206.54
2020-01-01 06:00:00,0.19474,207.01
2020-01-01 07:00:00,0.19438,206.59
2020-01-01 08:00:00,0.19415,206.21
2020-01-01 09:00:00,0.19365,205.27
2020-01-01 10:00:00,0.19418,206.42
2020-01-01 11:00:00,0.19358,205.96
2020-01-01 12:00:00,0.19436,207.23
2020-01-01 13:00:00,0.194,207.05
2020-01-01 14:00:00,0.19384,206.26
2020-01-01 15:00:00,0.19394,206.06
2020-01-01 16:00:00,0.19445,207.08
2020-01-01 17:00:00,0.19455,206.44
2020-01-01 18:00:00,0.19442,206.22
2020-01-01 19:00:00,0.19395,205.27
2020-01-01 20:00:00,0.19393,206.48
2020-01-01 21:00:00,0.19403,205.71
2020-01-01 22:00:00,0.19283,204.86
2020-01-01 23:00:00,0.19305,204.44
2020-01-02 00:00:00,0.19292,204.94
2020-01-02 01:00:00,0.19238,204.4
2020-01-02 02:00:00,0.19208,203.52
2020-01-02 03:00:00,0.19093,201.08
2020-01-02 04:00:00,0.19101,201.88
2020-01-02 05:00:00,0.19124,202.27
2020-01-02 06:00:00,0.19127,201.92
2020-01-02 07:00:00,0.19081,201.56
2020-01-02 08:00:00,0.19195,203.28
2020-01-02 09:00:00,0.19219,203.36
2020-01-02 10:00:00,0.19159,203.5
2020-01-02 11:00:00,0.19142,202.34
2020-01-02 12:00:00,0.19142,203.32
2020-01-02 13:00:00,0.19092,202.44
2020-01-02 14:00:00,0.19102,202.93
2020-01-02 15:00:00,0.19054,202.58
2020-01-02 16:00:00,0.18864,199.18
2020-01-02 17:00:00,0.18823,197.12
2020-01-02 18:00:00,0.18813,196.75
2020-01-02 19:00:00,0.18807,196.13
2020-01-02 20:00:00,0.18705,194.85
2020-01-02 21:00:00,0.18771,194.85
2020-01-02 22:00:00,0.18802,195.48
2020-01-02 23:00:00,0.1875,195.49
2020-01-03 00:00:00,0.18591,194.31
2020-01-03 01:00:00,0.18472,192.28
2020-01-03 02:00:00,0.1865,195.58
2020-01-03 03:00:00,0.18618,195.56
2020-01-03 04:00:00,0.19045,203.04
2020-01-03 05:00:00,0.19134,204.2
2020-01-03 06:00:00,0.19033,205.69
2020-01-03 07:00:00,0.18966,206.06
2020-01-03 08:00:00,0.19199,210.61
2020-01-03 09:00:00,0.19324,214.0
2020-01-03 10:00:00,0.1926,212.42
2020-01-03 11:00:00,0.19286,213.73
2020-01-03 12:00:00,0.19287,213.37
2020-01-03 13:00:00,0.19336,216.87
2020-01-03 14:00:00,0.19121,212.39
2020-01-03 15:00:00,0.1921,216.44
2020-01-03 16:00:00,0.19356,223.57
2020-01-03 17:00:00,0.19327,221.32
2020-01-03 18:00:00,0.19284,220.61
2020-01-03 19:00:00,0.19272,221.45
2020-01-03 20:00:00,0.19244,221.45
2020-01-03 21:00:00,0.19196,220.04
2020-01-03 22:00:00,0.1924,221.95
2020-01-03 23:00:00,0.19338,222.43
2020-01-04 00:00:00,0.19256,221.0
2020-01-04 01:00:00,0.19236,220.23
